"電廠","日期","用煤量(萬噸)","SO2(ppm)","NOX(ppm)","OP(%)","西屯AQI","沙鹿AQI","線西AQI"
"台中電廠      ","2023/09/19","4.508","16.18","33.32","14.07","32        ","34        ","47        "
"台中電廠      ","2023/09/20","4.4586","16.33","35.48","15.37","52        ","43        ","60        "
"台中電廠      ","2023/09/21","4.6801","12.49","31.74","14.29","81        ","43        ","37        "
"台中電廠      ","2023/09/22","4.6134","12.05","31.93","14.28","71        ","63        ","75        "
"台中電廠      ","2023/09/23","4.2937","12.78","32.18","13.34","68        ","71        ","78        "
"台中電廠      ","2023/09/24","4.2151","11.13","32.04","13.34","62        ","48        ","51        "
"台中電廠      ","2023/09/25","4.3332","12.49","32.3","13.67","61        ","51        ","54        "
"台中電廠      ","2023/09/26","4.5395","12.56","33.62","14.63","52        ","36        ","33        "
"台中電廠      ","2023/09/27","4.3432","13.94","33.99","13.82","74        ","60        ","63        "
"台中電廠      ","2023/09/28","4.1729","14.74","33.23","14.9","59        ","48        ","53        "
"台中電廠      ","2023/09/29","3.8869","13.45","30.69","13.07","61        ","49        ","56        "
"台中電廠      ","2023/09/30","3.5273","16.46","35.8","13.34","73        ","62        ","77        "
"台中電廠      ","2023/10/01","2.8796","11.87","33.24","12.83","66        ","47        ","70        "
"台中電廠      ","2023/10/02","3.2872","10.25","35.5","14.45","46        ","36        ","42        "
"台中電廠      ","2023/10/03","2.4706","13.49","30.12","13.48","31        ","21        ","8         "
"台中電廠      ","2023/10/04","2.8737","14.2","31.15","13.86","38        ","20        ","54        "
"台中電廠      ","2023/10/05","2.5003","13.52","32.45","13.89","22        ","11        ","-         "
